"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"919","5322E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Cuorgne' - Alpette","dal lunedì al venerdì","horizontal","5322E_As","0","","0","0"
"920","5322E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Cuorgne' - Alpette","sabato","horizontal","5322E_As","1","","0","0"
"921","5322E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Cuorgne' - Alpette","domenica e festivi","horizontal","5322E_As","2","","0","0"
"922","5322E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Alpette - Cuorgne'","dal lunedì al venerdì","horizontal","5322E_Di","0","","0","0"
"923","5322E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Alpette - Cuorgne'","sabato","horizontal","5322E_Di","1","","0","0"
"924","5322E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Alpette - Cuorgne'","domenica e festivi","horizontal","5322E_Di","2","","0","0"
"925","5379E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Servizio Scuolabus Cirie' - Rivarolo","dal lunedì al venerdì","horizontal","5379E_As","0","","0","0"
"926","5379E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Servizio Scuolabus Cirie' - Rivarolo","sabato","horizontal","5379E_As","1","","0","0"
"927","5379E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Servizio Scuolabus Cirie' - Rivarolo","domenica e festivi","horizontal","5379E_As","2","","0","0"
"928","5379E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Servizio Scuolabus Rivarolo - Cirie'","dal lunedì al venerdì","horizontal","5379E_Di","0","","0","0"
"929","5379E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Servizio Scuolabus Rivarolo - Cirie'","sabato","horizontal","5379E_Di","1","","0","0"
"930","5379E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Servizio Scuolabus Rivarolo - Cirie'","domenica e festivi","horizontal","5379E_Di","2","","0","0"
"931","54U","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: STR. MAINERO Fer./P.LE ADUA Fest. ","dal lunedì al venerdì","horizontal","54U_As","0","","0","0"
"932","54U","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: STR. MAINERO Fer./P.LE ADUA Fest. ","sabato","horizontal","54U_As","1","","0","0"
"933","54U","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: STR. MAINERO Fer./P.LE ADUA Fest. ","domenica e festivi","horizontal","54U_As","2","","0","0"
"934","54U","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: C.SO GABETTI Fer./STR. MONGRENO Fest. ","dal lunedì al venerdì","horizontal","54U_Di","0","","0","0"
"935","54U","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: C.SO GABETTI Fer./STR. MONGRENO Fest. ","sabato","horizontal","54U_Di","1","","0","0"
"936","54U","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: C.SO GABETTI Fer./STR. MONGRENO Fest. ","domenica e festivi","horizontal","54U_Di","2","","0","0"
"937","55U","1","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: CORSO FARINI, PASSAGGI MATTUTINI","frequenza","horizontal","55U_As","0","","0","0"
